epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.835,1.74252,0.57346,0.34862,1.16789,1.68866,0.92093,0.8826,0.93534,0.48645,0.92608,0.89506,0.94412,0.91426,1.64412,0.38351,0.02089,1.33045,1.62164,0.000663923,0.000663923,0.000663923
2,62.29,1.57865,0.2786,0.16421,0.89071,1.56307,0.94056,0.91844,0.94267,0.49457,0.94821,0.90597,0.94587,0.92241,1.62259,0.29138,0.022,0.80482,1.60384,0.00132181,0.00132181,0.00132181
3,90.304,1.57741,0.25374,0.13832,0.88202,1.58637,0.93552,0.88185,0.93806,0.49665,0.95252,0.89922,0.96474,0.94955,1.55837,0.18259,0.0124,0.77664,1.59027,0.00197089,0.00197089,0.00197089
4,117.821,1.5353,0.22265,0.11692,0.82073,1.56441,0.87993,0.84935,0.89232,0.40935,0.90012,0.87543,0.93042,0.91591,1.82008,0.19033,0.01782,1.59181,1.7761,0.0019604,0.0019604,0.0019604
5,144.925,1.5205,0.19366,0.11203,0.80623,1.56221,0.94526,0.94701,0.96706,0.52479,0.95202,0.95429,0.97666,0.96895,1.54137,0.13807,0.00498,0.78837,1.57091,0.0019472,0.0019472,0.0019472
6,172.323,1.48604,0.18462,0.10175,0.76222,1.54493,0.96088,0.95377,0.97035,0.50575,0.96792,0.9626,0.97841,0.9719,1.65183,0.1341,0.01395,0.64634,1.61529,0.001934,0.001934,0.001934
7,199.193,1.46216,0.17201,0.09899,0.74893,1.5223,0.95672,0.96463,0.9726,0.54936,0.96049,0.97247,0.98048,0.97362,1.50882,0.12795,0.00775,0.63975,1.55828,0.0019208,0.0019208,0.0019208
8,226.832,1.45339,0.16707,0.09614,0.73066,1.51464,0.95515,0.96246,0.97089,0.55101,0.96101,0.96027,0.97627,0.96803,1.534,0.14908,0.00532,0.62693,1.53831,0.0019076,0.0019076,0.0019076
9,254.269,1.42874,0.15823,0.09055,0.71077,1.50335,0.96147,0.96935,0.9762,0.53838,0.96746,0.9731,0.98176,0.97726,1.56796,0.10925,0.00322,0.60962,1.58552,0.0018944,0.0018944,0.0018944
10,281.883,1.42341,0.14857,0.08688,0.69519,1.50219,0.96818,0.95896,0.97435,0.53711,0.97351,0.96416,0.98176,0.97542,1.58387,0.12037,0.00425,0.60564,1.57977,0.0018812,0.0018812,0.0018812
