epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
21,745.273,1.13227,0.09101,0.0625,0.52928,1.22887,0.97315,0.98349,0.98164,0.58304,0.97728,0.98767,0.98726,0.98521,1.49804,0.06597,0.00229,0.49966,1.50039,0.005208,0.001736,0.005208,0.001736,0.005208,0.001736,0.005208,0.001736
22,779.486,1.12163,0.08909,0.06196,0.52555,1.21846,0.97651,0.98346,0.98197,0.58027,0.97996,0.98694,0.9867,0.98408,1.49027,0.06539,0.0021,0.48774,1.4971,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
23,813.349,1.12636,0.09375,0.06551,0.53316,1.2312,0.9762,0.98399,0.97921,0.58846,0.98183,0.98747,0.98639,0.98386,1.47152,0.06613,0.00537,0.48549,1.49789,0.0051288,0.0017096,0.0051288,0.0017096,0.0051288,0.0017096,0.0051288,0.0017096
24,847.49,1.1066,0.08634,0.06621,0.52078,1.21661,0.97648,0.98231,0.97936,0.58157,0.98062,0.98617,0.98544,0.98364,1.46845,0.06467,0.00296,0.48441,1.49196,0.0050892,0.0016964,0.0050892,0.0016964,0.0050892,0.0016964,0.0050892,0.0016964
25,881.283,1.09049,0.08811,0.0619,0.5169,1.20719,0.97971,0.98399,0.98154,0.58689,0.98261,0.98747,0.98462,0.98245,1.48148,0.06406,0.00257,0.48367,1.50535,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
26,914.989,1.07749,0.08333,0.06066,0.50726,1.19172,0.97958,0.98608,0.98673,0.58561,0.97599,0.98956,0.9857,0.98371,1.48742,0.06823,0.00289,0.48294,1.50562,0.00501,0.00167,0.00501,0.00167,0.00501,0.00167,0.00501,0.00167
27,949.005,1.08323,0.08952,0.06228,0.5151,1.20939,0.97652,0.98422,0.98432,0.58477,0.97998,0.9877,0.98656,0.98434,1.4793,0.06659,0.00184,0.47889,1.51931,0.0049704,0.0016568,0.0049704,0.0016568,0.0049704,0.0016568,0.0049704,0.0016568
28,982.976,1.05784,0.08519,0.06194,0.50217,1.18796,0.97714,0.98158,0.97948,0.59692,0.97655,0.98678,0.9829,0.98113,1.46099,0.0642,0.00239,0.46657,1.49468,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
29,1016.86,1.03943,0.08302,0.05984,0.49407,1.17343,0.97576,0.98052,0.98008,0.59292,0.98226,0.98539,0.98516,0.98288,1.47325,0.06509,0.00196,0.4832,1.51028,0.0048912,0.0016304,0.0048912,0.0016304,0.0048912,0.0016304,0.0048912,0.0016304
30,1050.78,1.0231,0.0807,0.05446,0.48581,1.16389,0.9771,0.9826,0.98204,0.58464,0.97601,0.98887,0.98617,0.98435,1.50228,0.06606,0.00286,0.48479,1.53053,0.0048516,0.0016172,0.0048516,0.0016172,0.0048516,0.0016172,0.0048516,0.0016172
