epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,717.726,1.25867,0.11373,0.07034,0.61361,1.3271,0.96401,0.97774,0.97174,0.57487,0.96812,0.98172,0.97986,0.97557,1.49525,0.07119,0.00192,0.53844,1.4073,0.0016568,0.0016568,0.0016568
28,744.232,1.24735,0.10486,0.06937,0.60207,1.3219,0.95234,0.96898,0.96687,0.48493,0.96335,0.98013,0.98095,0.97232,1.77966,0.08969,0.00339,0.6035,1.60745,0.0016436,0.0016436,0.0016436
29,770.753,1.23255,0.10343,0.07316,0.5949,1.31437,0.96033,0.98152,0.97521,0.57042,0.9647,0.9841,0.97981,0.97572,1.52501,0.07273,0.00118,0.54844,1.42822,0.0016304,0.0016304,0.0016304
30,797.259,1.2336,0.10701,0.06978,0.5966,1.30947,0.96173,0.97888,0.97863,0.57073,0.95935,0.98887,0.9815,0.97607,1.50869,0.07466,0.00304,0.53138,1.41571,0.0016172,0.0016172,0.0016172
31,823.78,1.22764,0.10424,0.0687,0.59372,1.3126,0.95803,0.97975,0.97256,0.56882,0.96284,0.98873,0.97887,0.97515,1.54628,0.06751,0.00148,0.53384,1.44188,0.001604,0.001604,0.001604
32,850.267,1.22369,0.10235,0.06918,0.58527,1.30762,0.96376,0.97239,0.97114,0.53947,0.97044,0.98092,0.97879,0.97415,1.63731,0.06512,0.00151,0.5553,1.49935,0.0015908,0.0015908,0.0015908
33,876.789,1.21203,0.09717,0.06634,0.58878,1.30575,0.95036,0.97409,0.96929,0.54025,0.96285,0.98879,0.97923,0.97457,1.59932,0.07451,0.00287,0.54856,1.49074,0.0015776,0.0015776,0.0015776
34,903.24,1.2097,0.09868,0.06952,0.5842,1.30585,0.95553,0.97536,0.97238,0.51681,0.96102,0.9849,0.97978,0.97501,1.70721,0.073,0.0029,0.57683,1.57253,0.0015644,0.0015644,0.0015644
35,929.781,1.1882,0.10167,0.06652,0.57431,1.28203,0.96195,0.9841,0.97808,0.59198,0.9635,0.98649,0.97994,0.97586,1.44972,0.06888,0.00173,0.51908,1.38899,0.0015512,0.0015512,0.0015512
36,956.489,1.19646,0.10185,0.06811,0.57655,1.29318,0.96344,0.97456,0.96852,0.53278,0.96854,0.97885,0.97372,0.96663,1.62782,0.07868,0.00246,0.55551,1.50654,0.001538,0.001538,0.001538
37,983.019,1.17675,0.09937,0.06686,0.5776,1.28316,0.96034,0.98171,0.97296,0.55831,0.96791,0.9831,0.98115,0.97543,1.57259,0.0752,0.00434,0.54455,1.45883,0.0015248,0.0015248,0.0015248
38,1009.52,1.17044,0.09591,0.06721,0.56749,1.28008,0.9627,0.98477,0.97712,0.57015,0.96569,0.98728,0.98091,0.9766,1.51771,0.0655,0.00312,0.52671,1.43378,0.0015116,0.0015116,0.0015116
39,1036.04,1.14706,0.0948,0.06374,0.56493,1.25467,0.96408,0.97854,0.97717,0.55674,0.96703,0.97936,0.97999,0.97604,1.59273,0.07148,0.00302,0.54456,1.50285,0.0014984,0.0014984,0.0014984
40,1062.54,1.15436,0.0948,0.06637,0.56133,1.25841,0.95266,0.97575,0.9729,0.54505,0.96916,0.97695,0.98088,0.9761,1.59713,0.07149,0.00209,0.54547,1.49934,0.0014852,0.0014852,0.0014852
41,1089.09,1.16074,0.10021,0.06681,0.57409,1.26624,0.96127,0.98013,0.97633,0.55206,0.96653,0.98707,0.98122,0.97647,1.59765,0.06884,0.00181,0.53988,1.49194,0.001472,0.001472,0.001472
42,1115.62,1.1452,0.09029,0.06426,0.56045,1.25361,0.96174,0.97904,0.97699,0.56224,0.96886,0.9841,0.98115,0.97711,1.5545,0.06968,0.00207,0.53897,1.48249,0.0014588,0.0014588,0.0014588
43,1142.15,1.1352,0.09007,0.06052,0.55532,1.25152,0.96404,0.98092,0.97495,0.56603,0.96716,0.9841,0.97971,0.97392,1.53369,0.06684,0.00309,0.53335,1.45096,0.0014456,0.0014456,0.0014456
44,1168.62,1.10786,0.09075,0.06208,0.53871,1.23465,0.9646,0.98092,0.96787,0.56248,0.96912,0.98808,0.97541,0.97066,1.52613,0.06921,0.00231,0.53591,1.45396,0.0014324,0.0014324,0.0014324
45,1195.12,1.10595,0.0864,0.05872,0.55007,1.24158,0.96464,0.97572,0.9734,0.56283,0.9702,0.98353,0.97991,0.97505,1.56029,0.07205,0.0031,0.52826,1.49067,0.0014192,0.0014192,0.0014192
