epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,506.642,1.17426,0.11553,0.06921,0.58607,1.27354,0.94947,0.96837,0.95752,0.49378,0.96412,0.9833,0.98107,0.97394,1.72618,0.09188,0.00195,0.60121,1.5692,0.0016568,0.0016568,0.0016568
28,525.343,1.1738,0.10734,0.0674,0.57974,1.26993,0.95,0.96836,0.96558,0.48255,0.9618,0.98243,0.98047,0.97296,1.74669,0.09995,0.00261,0.58795,1.6167,0.0016436,0.0016436,0.0016436
29,544.012,1.16,0.1047,0.06765,0.57357,1.26469,0.95757,0.97979,0.97276,0.55374,0.96034,0.98418,0.97924,0.97398,1.5664,0.0823,0.00119,0.54122,1.43939,0.0016304,0.0016304,0.0016304
30,562.68,1.16141,0.10928,0.06951,0.57386,1.2676,0.95505,0.97188,0.97083,0.52422,0.9634,0.98067,0.9825,0.97467,1.67422,0.09356,0.00268,0.57011,1.52427,0.0016172,0.0016172,0.0016172
31,581.379,1.14914,0.10632,0.06756,0.56777,1.25108,0.9551,0.971,0.95959,0.5262,0.96287,0.98001,0.97356,0.96634,1.62536,0.09797,0.00255,0.5476,1.50248,0.001604,0.001604,0.001604
32,600.098,1.1303,0.10176,0.06671,0.55767,1.23775,0.96036,0.97932,0.96816,0.53721,0.96121,0.98,0.97874,0.97267,1.55157,0.08582,0.00158,0.53886,1.44169,0.0015908,0.0015908,0.0015908
33,618.776,1.11166,0.0976,0.06548,0.54906,1.23314,0.95767,0.97416,0.97019,0.51441,0.96706,0.98042,0.98081,0.97598,1.65687,0.08764,0.00325,0.56456,1.53466,0.0015776,0.0015776,0.0015776
34,637.5,1.09573,0.09754,0.06576,0.54638,1.22672,0.95859,0.98418,0.97241,0.52856,0.96132,0.98267,0.97904,0.97276,1.62157,0.08566,0.00222,0.54579,1.52151,0.0015644,0.0015644,0.0015644
35,656.264,1.09342,0.09989,0.06338,0.54121,1.21595,0.94291,0.97627,0.96616,0.53157,0.95578,0.98682,0.97863,0.97329,1.64078,0.08804,0.00278,0.54896,1.50638,0.0015512,0.0015512,0.0015512
36,674.975,1.09401,0.09819,0.06045,0.54053,1.22045,0.95869,0.96661,0.96368,0.48579,0.96527,0.97699,0.98006,0.97206,1.74021,0.08914,0.00109,0.57995,1.61703,0.001538,0.001538,0.001538
