epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,759.575,1.26177,0.11329,0.07267,0.60593,1.32445,0.96274,0.9795,0.97295,0.57138,0.97236,0.98375,0.98229,0.97796,1.52129,0.09543,0.00276,0.54305,1.48895,0.0016568,0.0016568,0.0016568
28,787.576,1.27498,0.12375,0.07302,0.62245,1.32831,0.97066,0.97576,0.97729,0.54099,0.9733,0.97825,0.98309,0.97859,1.56291,0.09831,0.00383,0.55837,1.53302,0.0016436,0.0016436,0.0016436
29,815.515,1.256,0.11147,0.07355,0.61048,1.32226,0.96439,0.97615,0.97542,0.57427,0.96624,0.97839,0.98213,0.977,1.49737,0.09934,0.00464,0.54279,1.4891,0.0016304,0.0016304,0.0016304
30,843.553,1.24135,0.10709,0.06869,0.60447,1.31537,0.96018,0.97203,0.97053,0.5259,0.96976,0.97265,0.98045,0.97489,1.60434,0.10779,0.002,0.55682,1.55232,0.0016172,0.0016172,0.0016172
31,871.512,1.25254,0.11369,0.07177,0.6098,1.31877,0.96917,0.97638,0.98041,0.55255,0.97325,0.98011,0.9833,0.97879,1.57721,0.11062,0.00544,0.5473,1.54555,0.001604,0.001604,0.001604
32,899.483,1.22943,0.10837,0.07273,0.59556,1.31827,0.96568,0.9739,0.97299,0.57007,0.96881,0.98461,0.98275,0.9768,1.50552,0.10327,0.00667,0.53962,1.51033,0.0015908,0.0015908,0.0015908
33,927.508,1.2371,0.10498,0.07289,0.59751,1.314,0.97155,0.97614,0.97573,0.54612,0.97113,0.98272,0.98299,0.97738,1.56052,0.09099,0.00205,0.54144,1.52909,0.0015776,0.0015776,0.0015776
34,955.506,1.24011,0.1113,0.07439,0.59824,1.31613,0.96774,0.96944,0.97364,0.5804,0.97064,0.977,0.98161,0.97519,1.4635,0.11408,0.00493,0.52778,1.47514,0.0015644,0.0015644,0.0015644
35,983.467,1.21774,0.1035,0.06759,0.59662,1.3069,0.96565,0.97833,0.97576,0.56441,0.96731,0.98198,0.98378,0.9788,1.53122,0.08923,0.00396,0.5359,1.52055,0.0015512,0.0015512,0.0015512
36,1011.45,1.20283,0.1006,0.06638,0.57891,1.29798,0.96561,0.97739,0.97427,0.55545,0.97052,0.9826,0.98339,0.97825,1.56078,0.09894,0.00265,0.54521,1.55923,0.001538,0.001538,0.001538
37,1039.43,1.19589,0.10496,0.07083,0.58003,1.29231,0.97162,0.98446,0.97412,0.5524,0.97285,0.98571,0.98368,0.97916,1.55078,0.09912,0.00356,0.52762,1.52744,0.0015248,0.0015248,0.0015248
38,1067.49,1.19304,0.10629,0.07064,0.58272,1.29137,0.96854,0.97586,0.97648,0.56609,0.9741,0.9818,0.98392,0.97869,1.54496,0.10173,0.00292,0.52849,1.5382,0.0015116,0.0015116,0.0015116
39,1095.68,1.17555,0.10103,0.06793,0.57381,1.27759,0.9626,0.97887,0.97573,0.54836,0.96832,0.97887,0.98422,0.97892,1.54235,0.09391,0.00214,0.5323,1.533,0.0014984,0.0014984,0.0014984
40,1123.89,1.17182,0.09463,0.06646,0.5676,1.26994,0.96384,0.97949,0.97514,0.56699,0.97044,0.98633,0.98314,0.97961,1.52783,0.09408,0.00297,0.52412,1.52213,0.0014852,0.0014852,0.0014852
41,1152.11,1.17654,0.09687,0.0668,0.57081,1.27702,0.96344,0.98265,0.97356,0.55898,0.9672,0.98508,0.97916,0.97493,1.53774,0.09492,0.00384,0.52451,1.52887,0.001472,0.001472,0.001472
42,1180.35,1.15972,0.09885,0.06547,0.56092,1.26726,0.9661,0.97405,0.97308,0.53378,0.97083,0.98011,0.98174,0.97666,1.62815,0.09648,0.00313,0.54471,1.59662,0.0014588,0.0014588,0.0014588
43,1208.51,1.16184,0.09568,0.06757,0.56777,1.27182,0.96488,0.97576,0.974,0.54212,0.97059,0.98458,0.9822,0.97789,1.62946,0.0979,0.00237,0.53766,1.60241,0.0014456,0.0014456,0.0014456
44,1236.7,1.13441,0.0961,0.06729,0.55727,1.25078,0.96799,0.97743,0.97411,0.5431,0.97049,0.98123,0.98229,0.97684,1.60211,0.09397,0.00269,0.53084,1.60189,0.0014324,0.0014324,0.0014324
45,1264.85,1.12751,0.09346,0.06557,0.55163,1.2416,0.96325,0.97736,0.97332,0.54903,0.97146,0.98198,0.98433,0.97999,1.58012,0.09155,0.00253,0.5325,1.56482,0.0014192,0.0014192,0.0014192
46,1292.89,1.11366,0.09219,0.0646,0.54964,1.24596,0.97172,0.98135,0.98107,0.5748,0.97358,0.98481,0.98377,0.98062,1.53719,0.08804,0.00235,0.51171,1.55376,0.001406,0.001406,0.001406
47,1320.86,1.1275,0.0934,0.06672,0.56226,1.25194,0.96878,0.98355,0.98197,0.562,0.97,0.9848,0.9838,0.9795,1.54118,0.09357,0.00251,0.52304,1.54649,0.0013928,0.0013928,0.0013928
48,1348.98,1.11594,0.08926,0.06071,0.54753,1.24091,0.96646,0.97763,0.97528,0.53815,0.97096,0.98198,0.98376,0.97846,1.61053,0.09333,0.00293,0.53557,1.61192,0.0013796,0.0013796,0.0013796
49,1377.07,1.09695,0.09176,0.06094,0.54056,1.23087,0.96194,0.97401,0.97186,0.5317,0.96859,0.97734,0.98339,0.97833,1.5843,0.09386,0.00357,0.53507,1.60137,0.0013664,0.0013664,0.0013664
50,1405.12,1.09792,0.09692,0.06569,0.54368,1.2276,0.96686,0.97909,0.97353,0.54634,0.97299,0.98527,0.98195,0.97777,1.5919,0.08989,0.00256,0.52741,1.60738,0.0013532,0.0013532,0.0013532
51,1433.16,1.08117,0.09225,0.06074,0.53754,1.21112,0.9663,0.98008,0.97599,0.53533,0.97059,0.98444,0.9832,0.97731,1.59716,0.08851,0.00185,0.53514,1.61231,0.00134,0.00134,0.00134
52,1461.22,1.08154,0.0869,0.06088,0.52661,1.21997,0.96665,0.97287,0.97497,0.5674,0.97018,0.98073,0.98205,0.97851,1.55554,0.0905,0.00501,0.52602,1.56337,0.0013268,0.0013268,0.0013268
53,1489.29,1.06617,0.08957,0.06161,0.52734,1.2096,0.96591,0.97825,0.97085,0.54183,0.97058,0.98429,0.98357,0.97775,1.55875,0.09021,0.00304,0.52035,1.58051,0.0013136,0.0013136,0.0013136
54,1517.34,1.06828,0.09107,0.06451,0.53256,1.21688,0.96634,0.98121,0.97645,0.5495,0.97054,0.98289,0.98471,0.9803,1.5852,0.09122,0.00433,0.52909,1.60881,0.0013004,0.0013004,0.0013004
55,1545.47,1.05675,0.09157,0.06248,0.52457,1.20263,0.96811,0.98112,0.97695,0.55646,0.97181,0.98559,0.98415,0.97976,1.57898,0.08431,0.0036,0.52237,1.62461,0.0012872,0.0012872,0.0012872
56,1574.54,1.06035,0.09404,0.06449,0.52819,1.20489,0.96797,0.98446,0.97842,0.57379,0.97006,0.98658,0.98295,0.97864,1.53172,0.08598,0.00369,0.50811,1.56623,0.001274,0.001274,0.001274
57,1602.65,1.03922,0.08836,0.05862,0.51703,1.19077,0.96937,0.9834,0.98047,0.561,0.97118,0.9844,0.98395,0.98014,1.55529,0.08491,0.00325,0.53569,1.60939,0.0012608,0.0012608,0.0012608
58,1630.83,1.02326,0.08463,0.05811,0.51715,1.1879,0.96693,0.98121,0.98195,0.54945,0.9706,0.98494,0.98444,0.98115,1.56575,0.0826,0.00212,0.52333,1.62948,0.0012476,0.0012476,0.0012476
