frame,fish_id,length_cm
0,1,9.404518881320103
0,2,7.895059488597498
0,3,8.01219968315349
0,4,6.237441316613646
0,5,7.480648283279989
0,6,5.610468298217612
0,7,7.619894356828646
0,8,6.00595021945557
1,1,9.426559025406847
1,2,8.037846363970447
1,3,7.849936325024681
1,4,8.41391931397754
1,5,6.1107115244759935
1,6,6.090206379273437
1,7,7.76230814219502
2,1,9.474321060518223
2,2,8.179560753626085
2,3,7.479219289334177
2,4,8.61009418487845
2,5,6.362031467173916
2,6,6.3167099144706205
2,7,8.162277211019974
3,1,9.715019782155991
3,2,8.749379936253202
3,3,7.532034621312365
3,4,6.834687352374799
3,5,7.4662014091365565
3,6,8.354326772419626
3,7,6.569848522899
4,1,9.830579970144463
4,2,8.646388736041745
4,3,7.440285274425964
4,4,7.043292634764565
4,5,7.50154132364811
4,6,8.544489564357463
4,7,6.50896141823891
5,1,9.774563762792416
5,2,7.639483358792838
5,3,7.85512938259237
5,4,8.0706155106748
5,5,7.466678135256067
5,6,7.3029845987687265
5,7,6.517253491686598
5,8,7.243148660396999
6,1,9.628638785919733
6,2,7.392799799684541
6,3,8.326286393497002
6,4,7.444996868223265
6,5,8.441920607280428
6,6,7.486226867187804
6,7,6.227723802458303
6,8,7.224259054143542
7,1,9.614112556124107
7,2,7.428364160406399
7,3,8.097037981822885
7,4,8.236314850102243
7,5,7.380014064379901
7,6,7.331573952986737
7,7,6.350160690694921
7,8,7.109925917732247
8,1,9.46383012485719
8,2,7.4694318948283955
8,3,7.874578623855688
8,4,8.357689912336024
8,5,7.357255573978912
8,6,6.4698639543754375
8,7,6.378876184867535
8,8,6.774845491939475
9,1,8.151192292380221
9,2,9.354106722749336
9,3,7.962032105809255
9,4,8.193233021851107
9,5,8.092723758492903
9,6,6.515790149771926
9,7,6.105967359328913
9,8,7.205762672912887
10,1,8.073527981551512
10,2,8.213928265295108
10,3,9.170059053681149
10,4,7.930092048008398
10,5,7.669814391914551
10,6,6.01476521111882
10,7,5.872976203461866
11,1,7.850408313493316
11,2,8.23492020412529
11,3,9.04053760076415
11,4,7.871600418073054
11,5,6.949583084827753
11,6,6.6771882944093
11,7,5.709931132938332
12,1,7.825478794577884
12,2,8.60642132103596
12,3,9.017874455587062
12,4,8.410561503918379
12,5,6.811776072733023
12,6,7.316431236370726
12,7,6.223118213599378
13,1,7.990152432590429
13,2,7.826082252858358
13,3,8.82526525917755
13,4,9.05366859237646
13,5,6.695325798586013
13,6,7.305544114655094
13,7,6.7471817562615835
14,1,8.151244406539869
14,2,8.98404822053075
14,3,7.832283245650155
14,4,9.356535953236582
14,5,7.493609311667083
14,6,6.782092321162397
14,7,7.140643661606806
15,1,8.083331957835362
15,2,9.012420235014773
15,3,7.932212146775911
15,4,9.23783055727206
15,5,7.481824997316595
15,6,6.698046394602201
15,7,6.366380038472758
16,1,7.956766206859331
16,2,9.12091717775181
16,3,7.9532502777021445
16,4,8.34299964137878
16,5,6.552779951201439
16,6,7.451920352773823
16,7,6.645333514324231
16,8,6.5921640429429775
16,9,7.972665170996602
17,1,9.069755878136098
17,2,7.821713546543289
17,3,8.43873512927192
17,4,8.385493408714792
17,5,6.733409405161781
17,6,7.259944224962767
17,7,6.6348828486956535
18,1,8.973675726141646
18,2,6.89221190932485
18,3,7.730866129942621
18,4,8.342545419100935
18,5,8.189294257353138
18,6,6.887105313885669
18,7,5.494470469729367
18,8,6.948225155645098
18,9,6.721999365230586
19,1,8.379624051484393
19,2,7.036829294555447
19,3,7.627119274416262
19,4,8.351972159933695
19,5,7.890578263074097
19,6,7.862946506539626
19,7,5.651841018914825
19,8,6.201375357105173
20,1,8.002984952197481
20,2,6.888165363269425
20,3,7.636489163438495
20,4,8.370425310100096
20,5,7.924955250044875
20,6,5.8974319572895855
20,7,6.960665042435708
20,8,5.943173976508226
21,1,7.684524797888024
21,2,6.871853039093125
21,3,9.098763330044015
21,4,7.563627053980112
21,5,7.885013299912555
21,6,7.058599984748555
21,7,6.928840464874981
21,8,5.268914464707609
22,1,7.601277757706984
22,2,6.860602894879032
22,3,9.155945591718194
22,4,7.480176294811356
22,5,8.142770525739772
22,6,7.221052256706089
22,7,6.828013186701649
22,8,4.533882440177493
22,9,6.052331821542622
23,1,7.507025154538382
23,2,7.3672277368689
23,3,8.998434689625501
23,4,6.852683911437918
23,5,8.536681915711961
23,6,6.160884431677466
23,7,6.922812396340199
23,8,2.758086824198738
23,9,6.730348290488799
24,1,7.486070524708858
24,2,7.278024877328954
24,3,8.892404286376367
24,4,6.807399075528919
24,5,8.552136725079501
24,6,7.043576301610832
24,7,6.794514441762218
24,8,5.818183494448838
25,1,8.82724145179967
25,2,7.03922832251835
25,3,8.740344643824166
25,4,6.549670867813325
25,5,7.160869285407611
25,6,8.638193784437037
25,7,1.8354875001535
25,8,6.018908879017225
26,1,8.702085151959585
26,2,7.8673400855218
26,3,8.666602515715358
26,4,6.613440240825786
26,5,8.63502607261932
26,6,7.112022920451734
26,7,3.4413854777697295
26,8,6.128507917789554
26,9,5.450679178259383
27,1,8.983196627785588
27,2,7.014708610403791
27,3,8.721858330101623
27,4,6.711739390049812
27,5,7.663086335462674
27,6,6.493203399215234
27,7,5.487520335892626
27,8,5.299190422637876
28,1,9.073099475242628
28,2,8.718909734636973
28,3,7.232242588077858
28,4,6.817041379476588
28,5,7.52073946941494
28,6,6.585512973317854
28,7,6.477973628264356
28,8,4.614048526772503
29,1,9.105234368935808
29,2,8.711559861507475
29,3,8.06171642570848
29,4,6.777415667540315
29,5,6.6826342240925545
29,6,6.681469354183141
29,7,5.804596503939603
29,8,4.343979626831538
30,1,8.811465074378845
30,2,8.676192705503377
30,3,7.091372092484707
30,4,6.699781559235949
30,5,6.406123007268239
30,6,6.512336402282502
30,7,6.356313714771587
30,8,7.051213987031117
30,9,4.946688470157197
31,1,8.686361480904766
31,2,7.877075365867932
31,3,6.630078870706249
31,4,7.106046966076601
31,5,6.538499487045065
31,6,6.6930031652435025
31,7,6.451169184014303
31,8,6.9562039519285355
31,9,5.5184512740566545
32,1,8.716960783507396
32,2,8.06483320777927
32,3,7.057179281691777
32,4,6.513820471419762
32,5,6.677620012845478
32,6,7.062153222906399
32,7,6.253910575475251
32,8,6.824406649971438
33,1,8.612293639298155
33,2,8.101798136541676
33,3,7.053573929374285
33,4,6.480427731418707
33,5,7.641388486651802
33,6,7.188397998035505
33,7,6.280858333664337
34,1,8.519804034462204
34,2,8.116360490925238
34,3,7.086612529972275
34,4,6.418944274954458
34,5,7.805341409524665
34,6,6.954374626483605
34,7,6.3783390536993405
34,8,5.895507878827113
35,1,8.482268218769104
35,2,8.458485803572296
35,3,7.049622136336403
35,4,7.923453414716827
35,5,7.0371603379104855
35,6,6.31524479593687
35,7,6.663198603575509
36,1,8.666246599693213
36,2,8.382062757273394
36,3,6.954091551843697
36,4,7.598510377388383
36,5,6.968797812372652
36,6,6.499692796504175
36,7,6.722079905295496
36,8,5.994669872717135
37,1,8.79692226280515
37,2,8.348105052405241
37,3,7.336090118685356
37,4,6.899609158963121
37,5,7.8845057790623425
37,6,6.673347243960671
37,7,6.783222843102951
38,1,8.885904821579311
38,2,8.346917086447803
38,3,7.47300171476431
38,4,6.787662021974817
38,5,7.0300935394208945
38,6,7.083310387310919
38,7,6.681614444741253
39,1,9.043235692938673
39,2,7.779645575579859
39,3,7.023191966505642
39,4,6.653697244741435
39,5,7.1660220729428445
39,6,7.061081329395449
39,7,6.7920739593541395
40,1,9.113459523064856
40,2,7.86401188578062
40,3,6.58289956665276
40,4,6.9994101435151945
40,5,7.283969444767027
40,6,6.959024038613144
40,7,6.644865079093755
40,8,6.431550571732128
41,1,9.147308854169195
41,2,7.812140530739699
41,3,6.623253100205031
41,4,7.057919539641328
41,5,6.763816240697528
41,6,7.814061055964014
41,7,6.972128380939271
41,8,6.2646721494426405
42,1,9.223375984445951
42,2,7.830204601327816
42,3,7.081908634857649
42,4,6.799012841270049
42,5,6.652201923683343
42,6,8.092360143788083
42,7,7.099907562746207
42,8,6.348323666567316
43,1,9.282137660481292
43,2,7.99122432610138
43,3,7.1183068221338806
43,4,6.658437856650359
43,5,8.110248329087389
43,6,6.62834548269158
43,7,6.016859845012869
43,8,5.897131116458888
44,1,9.264695998777157
44,2,7.933888090773695
44,3,7.044577722564984
44,4,6.678298681333626
44,5,8.05095840497925
44,6,6.5792201885403125
44,7,7.211187875373555
44,8,5.70423410775859
45,1,9.092267418485116
45,2,7.975237123216521
45,3,6.9642070286727185
45,4,7.5496059762092615
45,5,6.450474525954443
45,6,6.573122831861453
45,7,7.252140129555422
46,1,8.881234090020826
46,2,8.0330796949817
46,3,6.943305105209203
46,4,7.620105774499038
46,5,6.690563867248143
46,6,7.249097965485949
46,7,6.201156832958466
46,8,6.933928701917013
47,1,8.967882763531641
47,2,7.912548526810404
47,3,6.974163201990996
47,4,7.697560444276433
47,5,6.911244829517339
47,6,7.291905009986211
47,7,6.342969528869805
47,8,6.901268521182834
48,1,7.85858964435175
48,2,8.924402972606828
48,3,6.978417020272295
48,4,7.753054917825636
48,5,7.576806014307555
48,6,7.269062426282153
48,7,2.719026373232743
48,8,6.981574664581899
49,1,7.846991282798189
49,2,8.828358945200312
49,3,7.900078437495452
49,4,6.92930357024822
49,5,7.544112077810875
49,6,7.305463574590182
49,7,5.220930352211369
49,8,7.286330571522914
49,9,6.971841160854845
49,10,7.8669912759759715
50,1,7.867238818234301
50,2,8.561541554276955
50,3,8.16922083058676
50,4,7.0579296071494415
50,5,7.358885325880642
50,6,7.26235924249738
50,7,5.5212488568995965
50,8,6.63946771033199
51,1,8.644866173491108
51,2,7.819223318801001
51,3,6.966399968822468
51,4,7.837174870180786
51,5,7.785811035990077
51,6,7.194253142313272
51,7,5.844134569334649
51,8,6.4008582927310345
52,1,8.68790240185255
52,2,7.883668399269811
52,3,6.878768824961008
52,4,7.748099335008163
52,5,8.007928690887763
52,6,7.347772573541986
52,7,6.157206830184097
52,8,5.396633833672221
52,9,6.279888891853606
53,1,8.672313753847732
53,2,8.89788634064756
53,3,6.640316934251715
53,4,8.185559804049245
53,5,8.139977680547707
53,6,7.4578850552281235
53,7,6.066791132019607
54,1,8.68553298420763
54,2,8.943114916952393
54,3,6.690023182841791
54,4,8.137950558178657
54,5,6.961046423331316
54,6,7.720493043347156
54,7,5.801399774010264
54,8,8.313658777290385
55,1,8.949339597998573
55,2,8.044345828767502
55,3,6.689914216871617
55,4,8.264704630777054
55,5,6.9194865654244575
55,6,7.88523478509106
55,7,5.441614275512364
56,1,8.84894463046778
56,2,8.010967893925438
56,3,6.693577013205994
56,4,8.506721011565023
56,5,6.914761943087245
56,6,7.799559698835494
56,7,6.04722641051616
56,8,5.196923490804258
57,1,9.232705603435729
57,2,7.935071911286616
57,3,6.599947411127734
57,4,8.557735444003544
57,5,6.8808510225215045
57,6,7.9842309612003834
57,7,4.485988935254278
58,1,9.218855081096455
58,2,8.023172082584912
58,3,8.512794679989497
58,4,6.320145303562896
58,5,7.180224958066105
58,6,6.9092834420542095
58,7,4.422662532598828
58,8,4.843862791623257
59,1,9.31471730115056
59,2,7.9659075042267435
59,3,6.0698238207873265
59,4,8.540412223571337
59,5,7.30485833969063
59,6,6.965306163676211
59,7,5.149195803661742
59,8,5.779963088203993
60,1,7.882828650651841
60,2,9.271852220427053
60,3,8.620281318676987
60,4,6.44323065776332
60,5,7.34148867185984
60,6,7.001360279057492
60,7,5.327702197822773
60,8,5.2831084667354755
60,9,5.647030526655464
61,1,7.87874242677032
61,2,9.225199387827285
61,3,7.017597393026118
61,4,7.547336641439118
61,5,7.974843305987361
61,6,6.109913822509558
61,7,5.366116255547221
61,8,6.115928270298068
61,9,4.374028473622882
62,1,7.907649795803458
62,2,9.267438506428652
62,3,5.265837952669276
62,4,7.693849679226925
62,5,7.119075505988694
62,6,6.742702899563621
62,7,5.652416643496395
62,8,6.477167635408884
62,9,5.887178496378768
63,1,8.002700693144854
63,2,9.330361616553185
63,3,7.705494232876538
63,4,7.308609966978953
63,5,5.913500292445714
63,6,6.6708297747258385
63,7,5.795524494716269
64,1,8.10904259693916
64,2,9.166137463167608
64,3,7.430004572022603
64,4,7.877125111202142
64,5,6.4900972768589185
64,6,6.194943996039476
64,7,5.584425431346057
64,8,6.316977591745178
65,1,8.070661110564492
65,2,9.164833424763678
65,3,7.604836325722064
65,4,7.812247720090793
65,5,6.652798275487501
65,6,5.576433014316348
65,7,6.452071706506395
65,8,4.36175647733523
65,9,4.621199714668344
66,1,9.109822783810303
66,2,8.008618611296743
66,3,7.7507447208166775
66,4,7.543997781983465
66,5,6.842439333622495
66,6,6.666858438878088
66,7,5.4591264097732966
66,8,5.06090908736016
66,9,6.228034710797115
67,1,9.037756599699277
67,2,7.97095606344268
67,3,7.495845482881086
67,4,6.677689893195915
67,5,6.889981660174443
67,6,5.328697104506969
67,7,6.429522264950359
67,8,5.227422710532109
67,9,6.43588078463382
68,1,8.955222575975244
68,2,8.371159645986051
68,3,5.688883526710345
68,4,7.639117967468939
68,5,6.537232757641793
68,6,5.30811497247766
68,7,5.864999776003867
68,8,6.353742354758027
69,1,8.455850485271895
69,2,8.686127559392707
69,3,6.0591670673455935
69,4,7.784383818663343
69,5,7.03552229511972
69,6,5.5374812332173455
69,7,6.169576244417911
69,8,6.428563482854101
70,1,8.730898952387898
70,2,8.511402995044342
70,3,7.372939567207633
70,4,8.03536857256171
70,5,7.4027074120813285
70,6,6.565645634364631
70,7,5.823661403275514
71,1,8.474226648611543
71,2,8.701830503224938
71,3,7.222819400483256
71,4,8.066078617753593
71,5,8.336092738606292
71,6,6.544982370064051
71,7,5.5711120401749765
71,8,6.493381653329485
71,9,5.146998125861116
72,1,8.511677778795216
72,2,8.664530977869335
72,3,6.961137030904341
72,4,8.138404188250142
72,5,8.371717504376832
72,6,6.470503537243849
72,7,5.492872104764698
72,8,5.064548787646511
73,1,8.470437120116202
73,2,8.574049544798925
73,3,8.141461749684966
73,4,6.2498450788163185
73,5,8.557279445106621
73,6,6.433904592011699
73,7,5.571335894178921
74,1,8.538673505699432
74,2,8.64371137108981
74,3,6.505151162520982
74,4,8.135599498930883
74,5,8.854886829080414
