run_id,frame,track_id,length_px,length_cm
20251219-100635-2e88a,7,2,186.9803297071338,14.682051440259261
20251219-100635-2e88a,7,1,199.81675779228559,15.689992210021403
20251219-100635-2e88a,8,2,191.4228426983854,15.03088601747783
20251219-100635-2e88a,8,1,208.51184561355433,16.37274705845597
20251219-100635-2e88a,9,2,189.49230470415677,14.87929649903471
20251219-100635-2e88a,9,1,215.7265700041009,16.939260952164524
20251219-100635-2e88a,10,2,190.51819713562472,14.959851525729642
20251219-100635-2e88a,10,1,220.58381551901553,17.32066111666121
20251219-100635-2e88a,11,2,185.37855681967582,14.55627718386499
20251219-100635-2e88a,11,1,214.84328025046517,16.869903359203565
20251219-100635-2e88a,12,2,179.46477835277986,14.091916040672764
20251219-100635-2e88a,12,1,218.5903875391426,17.16413335682258
20251219-100635-2e88a,13,2,177.118393380593,13.907673425878698
20251219-100635-2e88a,13,1,221.5063588732935,17.393100977071093
20251219-100635-2e88a,14,2,180.55597240441423,14.17759867489688
20251219-100635-2e88a,14,1,221.72078399867382,17.409938046113858
20251219-100635-2e88a,14,3,196.22542967378334,15.407994289399019
20251219-100635-2e88a,15,2,185.79497537320887,14.588975161418173
20251219-100635-2e88a,15,1,221.45134278122038,17.3887810087882
20251219-100635-2e88a,15,3,196.67190220571885,15.443052162549673
20251219-100635-2e88a,16,2,192.02426110887725,15.078110535980876
20251219-100635-2e88a,16,1,219.03917749365382,17.19937319840552
20251219-100635-2e88a,16,3,197.27077342165887,15.490076670487454
20251219-100635-2e88a,17,2,190.23570040577542,14.93766934471708
20251219-100635-2e88a,17,1,218.36722741112794,17.146610398744272
20251219-100635-2e88a,17,3,202.8213917812196,15.925921790709257
20251219-100635-2e88a,18,2,188.25508358265998,14.782147541295451
20251219-100635-2e88a,18,1,214.15108681658054,16.815551013056663
20251219-100635-2e88a,18,3,210.38469854774831,16.51980703617098
20251219-100635-2e88a,19,2,185.54167187352053,14.569085288412564
20251219-100635-2e88a,19,1,207.87891119145942,16.32304784272529
20251219-100635-2e88a,19,3,214.2888107461178,16.826365358186912
20251219-100635-2e88a,20,2,181.89523704377729,14.282760283917716
20251219-100635-2e88a,20,1,202.07392750421403,15.867229472742222
20251219-100635-2e88a,20,3,216.86622089726,17.02874850983173
20251219-100635-2e88a,20,4,187.16434217209397,14.696500449309712
20251219-100635-2e88a,21,2,180.43614674152263,14.16818973573631
20251219-100635-2e88a,21,1,198.54479704637046,15.590115430839512
20251219-100635-2e88a,21,3,217.36164877551917,17.067650449971275
20251219-100635-2e88a,21,4,181.65275934368333,14.263720473305169
20251219-100635-2e88a,22,2,177.7717444443717,13.958975795181244
20251219-100635-2e88a,22,1,198.01604433644266,15.548596761477363
20251219-100635-2e88a,22,3,217.1804643228276,17.0534235018278
20251219-100635-2e88a,22,4,179.62416072699494,14.104431048109973
20251219-100635-2e88a,23,2,173.83444451545793,13.649811509383989
20251219-100635-2e88a,23,1,197.51020354238753,15.508877179366605
20251219-100635-2e88a,23,3,203.17884550399495,15.953989737500878
20251219-100635-2e88a,23,4,177.89811687648552,13.968898799124128
20251219-100635-2e88a,24,2,173.04192608985915,13.587581453900508
20251219-100635-2e88a,24,1,199.16059482359867,15.638469044592485
20251219-100635-2e88a,24,3,194.51916549928282,15.274015178227668
20251219-100635-2e88a,24,4,181.3159103482115,14.23727044892633
20251219-100635-2e88a,25,2,176.64480002246955,13.870485973826257
20251219-100635-2e88a,25,1,198.51218091130497,15.587554349823323
20251219-100635-2e88a,25,3,188.45319501588932,14.797703628174391
20251219-100635-2e88a,25,4,184.17261048524352,14.46158398194338
20251219-100635-2e88a,26,2,178.78785148636678,14.038762454466465
20251219-100635-2e88a,26,1,198.64216523614084,15.59776096645865
20251219-100635-2e88a,26,3,186.57594460115146,14.650298351915657
20251219-100635-2e88a,26,4,182.39756714203168,14.32220419951094
