epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,79.0727,2.08944,1.31699,0.65741,1.79882,2.08968,0.94319,0.93719,0.9655,0.50912,0.95275,0.93225,0.9692,0.93235,1.63765,0.33889,0.20965,0.70121,1.59068,0.0019944,0.000664799,0.0019944,0.000664799,0.0019944,0.000664799,0.0019944,0.000664799
2,132.356,1.5188,0.35637,0.32016,0.76796,1.47268,0.97027,0.96877,0.97597,0.55193,0.97235,0.97178,0.98044,0.97011,1.52713,0.1614,0.05806,0.5841,1.49182,0.00396803,0.00132268,0.00396803,0.00132268,0.00396803,0.00132268,0.00396803,0.00132268
3,180.171,1.4549,0.22801,0.20321,0.70375,1.41916,0.96919,0.96447,0.97297,0.54775,0.97569,0.97178,0.98094,0.97432,1.53488,0.12007,0.02021,0.57575,1.49164,0.00591527,0.00197176,0.00591527,0.00197176,0.00591527,0.00197176,0.00591527,0.00197176
4,226.56,1.42889,0.18764,0.13373,0.67694,1.41292,0.97471,0.97513,0.97805,0.55223,0.97714,0.97746,0.98499,0.97882,1.55128,0.09954,0.01057,0.55918,1.51649,0.0058812,0.0019604,0.0058812,0.0019604,0.0058812,0.0019604,0.0058812,0.0019604
5,272.912,1.39711,0.16264,0.10086,0.65995,1.39077,0.97339,0.97892,0.98012,0.5699,0.97495,0.97859,0.98175,0.97756,1.52627,0.10036,0.01033,0.5463,1.49061,0.0058416,0.0019472,0.0058416,0.0019472,0.0058416,0.0019472,0.0058416,0.0019472
6,319.339,1.36873,0.14411,0.08796,0.63818,1.36945,0.97395,0.97664,0.97928,0.56137,0.97274,0.9781,0.98382,0.97874,1.53774,0.09643,0.0082,0.54739,1.50661,0.005802,0.001934,0.005802,0.001934,0.005802,0.001934,0.005802,0.001934
7,365.5,1.33516,0.13117,0.08345,0.62011,1.3534,0.9701,0.97887,0.97751,0.57345,0.97444,0.98325,0.98355,0.978,1.50538,0.08857,0.00428,0.53664,1.50296,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208
8,411.629,1.31726,0.12004,0.07687,0.6122,1.35244,0.97579,0.97664,0.98093,0.57974,0.97729,0.9781,0.98374,0.98078,1.50267,0.08581,0.00583,0.528,1.48509,0.0057228,0.0019076,0.0057228,0.0019076,0.0057228,0.0019076,0.0057228,0.0019076
9,458.286,1.29361,0.11768,0.07502,0.60391,1.33071,0.97815,0.98015,0.98016,0.57337,0.97905,0.98005,0.98276,0.97908,1.5009,0.08318,0.00506,0.52346,1.49206,0.0056832,0.0018944,0.0056832,0.0018944,0.0056832,0.0018944,0.0056832,0.0018944
10,504.432,1.26238,0.10958,0.07503,0.58637,1.319,0.97552,0.97956,0.97785,0.5723,0.97697,0.98102,0.98137,0.97815,1.49682,0.08285,0.00299,0.51163,1.51688,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
