run_id,fish_id,confidence,length_px,length_cm
20251211-200522-11911,1,0.8094182014465332,96.42674255371094,7.484804979718307
20251211-200522-11911,2,0.7993943691253662,127.16543579101562,9.870793742995858
20251211-200522-11911,3,0.7725868225097656,88.87316131591797,6.898483374673444
20251211-200522-11911,4,0.7568711042404175,126.8785629272461,9.84852619166701
20251211-200522-11911,5,0.7521768808364868,85.93522644042969,6.670435957496677
20251211-200522-11911,6,0.7477415800094604,116.29935455322266,9.027350349547673
20251211-200522-11911,7,0.7414007186889648,96.72701263427734,7.508112445414683
20251211-200522-11911,8,0.7315674424171448,95.72453308105469,7.430298306376985
20251211-200522-11911,9,0.7231366634368896,94.33464813232422,7.322413112809456
20251211-200522-11911,10,0.7165796160697937,70.38617706298828,5.463492747262927
20251211-200522-11911,11,0.6836916208267212,99.39896392822266,7.7155137722752976
20251211-200522-11911,12,0.683538019657135,107.14222717285156,8.316558811833545
20251211-200522-11911,13,0.6737275719642639,116.87734985351562,9.072215311147685
20251211-200522-11911,14,0.6409357786178589,101.06167602539062,7.844576265263575
20251211-200522-11911,15,0.6312031745910645,94.85086822509766,7.362482979515459
20251211-200522-11911,16,0.5699604153633118,84.91058349609375,6.590901458984224
20251211-200522-11911,17,0.4942588210105896,72.50646209716797,5.628072816670649
20251211-200522-11911,18,0.27730345726013184,68.17648315429688,5.291972611526576
